boundary,method,n_eval_queries,success_at_10,success_at_20,mrr_at_20,recall_at_20,recall_at_50,ndcg_at_20
sbert_hc_K20,cluster_only,1584,0.01452020202020202,0.059343434343434344,0.0056261831978069434,0.018481121011782484,0.06926653808634348,0.007058119928335956
sbert_hc_K20,ecfa_head,1584,0.2077020202020202,0.2821969696969697,0.08367239071280257,0.13016721771097475,0.19214444819391344,0.07542732156397162
sbert_hc_K20,ecfa_hybrid_allrel,1584,0.2159090909090909,0.369949494949495,0.07205759793193241,0.16025462057280762,0.32170765700506654,0.07738417115639605
sbert_hc_K20,global,1584,0.18686868686868688,0.3352272727272727,0.06393187287274738,0.138825376749856,0.2991625009997771,0.0672319256947216
sbert_hc_K20,multi_L3,1584,0.16287878787878787,0.2859848484848485,0.057658291510625806,0.11926351319978414,0.2420416250113648,0.059043357493300884
sbert_hc_K20,multi_L5,1584,0.1830808080808081,0.32702020202020204,0.06260149411616188,0.13519526168229665,0.27719119472134185,0.06531537360560871
